Study_ID,pdf_filename,n_pages,raw_chars,raw_tokens,chars_per_page,alpha_ratio,bad_char_ratio,ocr_triggers,needs_ocr_or_manual_inspection,repeated_header_footer_lines_removed,section_start_heading,section_end_heading,section_detection,substantive_char_count,substantive_token_count
S01,A Pilot Study on Secure Code Generation with ChatGPT for Web Applications.pdf,6,33594,4704,5599.0,0.9096,0.0,,False,19,introduction,references,high,24748,3617
S02,A Two-Stage Code Generation Method using Large Language Models.pdf,9,35010,4836,3890.0,0.9164,0.0,,False,1,introduction,references,high,26229,3675
S03,A_Closer_Look_at_Different_Difficulty_Levels_Code_Generation_Abilities_of_ChatGPT.pdf,12,67786,10108,5648.8,0.8972,0.00018,,False,6,introduction,acknowledg,high,52218,7798
S05,A_Self-Iteration_Code_Generation_Method_Based_on_Large_Language_Models.pdf,7,38027,5675,5432.4,0.8969,0.00011,,False,6,introduction,acknowledg,high,28740,4378
S06,AI chatbots in programming education guiding success or encouraging plagiarism.pdf,10,42654,6278,4265.4,0.9047,0.00028,,False,5,introduction,references,high,31931,4928
S07,AI-assisted coding Experiments with GPT-4.pdf,10,28798,4538,2879.8,0.9228,0.0,,False,2,introduction,acknowledg,high,16326,2591
S08,An Empirical Study of the Code Generation of Safety-Critical Software Using LLMs.pdf,41,120750,17068,2945.1,0.8723,0.0,,False,1,introduction,references,high,10800,1531
S09,An Empirical Study of the Non-determinism of ChatGPT in Code Generation.pdf,27,98195,14969,3636.9,0.8821,0.0,,False,6,introduction,acknowledg,high,76120,11848
S10,Applying Large Language Models to Enhance the Assessment of Parallel Functional Programming Assignments.pdf,9,58505,8558,6500.6,0.9392,0.0,,False,5,introduction,acknowledg,high,47825,7004
S11,Applying RLAIF for Code Generation with API-usage in Lightweight LLMs.pdf,7,28844,4355,4120.6,0.8995,0.0,,False,3,introduction,references,high,16712,2563
S12,Automated_Programming_Exercise_Generation_in_the_Era_of_Large_Language_Models.pdf,5,31461,4752,6292.2,0.9353,0.0,,False,0,introduction,acknowledg,high,25058,3865
S13,Automating Human Tutor-Style Programming Feedback Leveraging GPT-4 Tutor Model for Hint Generation and GPT-3.5 Student Model for Hint Validation.pdf,12,64611,10061,5384.2,0.8926,0.00068,,False,33,introduction,acknowledg,high,53601,8359
S14,Beyond Code Generation An Observational Study of ChatGPT Usage in Software Engineering Practice.pdf,22,83299,12280,3786.3,0.9256,0.0,,False,3,introduction,data_availability,high,65617,9867
S15,Beyond_Functional_Correctness_An_Exploratory_Study_on_the_Time_Efficiency_of_Programming_Assignments.pdf,11,62952,9163,5722.9,0.9253,0.0,,False,5,introduction,acknowledg,high,49125,7217
S16,Bridging the Theory-Practice Gap in a Maintenance Programming Course An Experience Report.pdf,9,49505,7502,5500.6,0.9302,0.0,,False,15,introduction,acknowledg,high,38412,5910
S17,Bugs in large language models generated code an empirical.pdf,48,151611,23621,3158.6,0.9166,0.0,,False,3,introduction,references,high,128797,19945
S18,Can_ChatGPT_Support_Developers_An_Empirical_Evaluation_of_Large_Language_Models_for_Code_Generation.pdf,5,29332,4345,5866.4,0.9109,0.0,,False,4,introduction,acknowledg,high,19514,2901
S19,Case_study_using_AI-assisted_code_generation_in_mobile_teams.pdf,8,42526,6685,5315.8,0.9446,0.0,,False,0,introduction,references,high,36734,5798
S20,Chain-of-Programming (CoP)  Empowering Large Language Models for Geospatial Code Generation.pdf,34,82952,11748,2439.8,0.8576,0.0,,False,2,introduction,disclosure,high,62806,8963
S21,Code Generation with AlphaCodium From Prompt Engineering to Flow.pdf,10,35182,5500,3518.2,0.9246,0.0,,False,0,introduction,references,high,27008,4187
S22,Code Hallucination.pdf,9,34981,5396,3886.8,0.9134,0.0,,False,10,introduction,references,high,26002,4054
S23,CodeHalu Investigating.pdf,9,46004,6830,5111.6,0.8743,0.0,,False,2,introduction,references,high,34406,4979
S24,CodeMirage Hallucinations in Code Generated by Large Language Models.pdf,10,43797,6552,4379.7,0.8936,0.0,,False,9,introduction,references,high,32295,4788
S25,COLLU-BENCH A BENCHMARK FOR PREDICTING LANGUAGE MODEL HALLUCINATIONS IN CODE.pdf,18,69462,10190,3859.0,0.8435,0.0,,False,1,introduction,acknowledg,high,37858,5696
S26,De-Hallucinator-Iterative-Grounding-for-LLM-Based-Code.pdf,23,77793,11630,3382.3,0.8915,0.0,,False,3,introduction,references,high,57558,8970
S27,Developer_Experiences_with_a_Contextualized_AI_Coding_Assistant_Usability_Expectations_and_Outcomes.pdf,11,68080,9994,6189.1,0.9312,0.0,,False,4,introduction,acknowledg,high,54701,8097
S28,Digital Rubber Duck Leveraging Large Language Models for Extreme Programming.pdf,10,38423,5744,3842.3,0.9126,0.00057,,False,2,introduction,references,high,27565,4246
S29,Does ChatGPT Help With Introductory Programming An Experiment of Students Using ChatGPT in CS1.pdf,11,65893,9713,5990.3,0.9267,0.0,,False,9,introduction,acknowledg,high,51481,7574
S30,Enhancing Computer Programming Education with LLMs A Study on Effective Prompt Engineering for Python Code Generation.pdf,18,61328,8700,3407.1,0.9336,0.0,,False,2,introduction,references,high,44899,6420
S31,Enhancing Large Language Models in Coding Through Multi-Perspective Self-Consistency.pdf,22,73030,11195,3319.5,0.8222,0.00011,,False,8,introduction,acknowledg,high,33010,4889
S32,Evaluating_Large_Language_Models_in_Class-Level_Code_Generation.pdf,13,96135,13354,7395.0,0.8652,0.01108,excess_replacement_or_control_chars,True,5,introduction,acknowledg,high,67244,9820
S33,Expectation vs. Experience Evaluating the Usability of Code.pdf,7,43999,6750,6285.6,0.9077,0.0,,False,4,introduction,acknowledg,high,29378,4665
S34,Experiences and Challenges in AI-Driven Modular Software.pdf,18,77998,10853,4333.2,0.9473,0.0,,False,0,introduction,references_inline_caps,low,65126,8934
S35,Explaining Code Examples in Introductory Programming Courses LLM vs Humans.pdf,12,32168,4714,2680.7,0.8877,0.0,,False,4,introduction,references,high,15647,2366
S36,Exploring and Evaluating Hallucinations in LLM-Powered Code Generation.pdf,18,91562,13693,5086.8,0.9149,0.0,,False,5,introduction,references,high,51240,7560
S38,Exploring the verifiability of code generated by github copilot.pdf,10,32822,5170,3282.2,0.9258,0.0,,False,14,introduction,references,high,26771,4283
S39,Exploring_Early_Adopters_Perceptions_of_ChatGPT_as_a_Code_Generation_Tool.pdf,6,32494,4953,5415.7,0.9143,0.0,,False,0,introduction,references,high,23736,3623
S40,Exploring_the_Potential_of_Large_Language_Models_to_Generate_Formative_Programming_Feedback.pdf,5,29839,4929,5967.8,0.873,0.0,,False,0,introduction,references,high,19409,3492
S41,Extending_the_Frontier_of_ChatGPT_Code_Generation_and_Debugging.pdf,6,28643,4326,4773.8,0.894,0.0,,False,0,introduction,references,high,17566,2593
S42,From Ban It Till We Understand It to Resistance is Futile How University Programming Instructors Plan to Adapt as More Students Use AI Code Generation and Explanation Tools such as ChatGPT and GitHub Copilot.pdf,16,114306,17552,7144.1,0.9,0.0,,False,2,introduction,acknowledg,high,77665,12599
S43,Fight Fire with Fire How Much Can We Trust.pdf,18,119060,18274,6614.4,0.877,9e-05,,False,40,introduction,references,high,93185,14191
S44,Gauging_Tech_Community_Acceptance_of_Rapid_Prototyping_in_Unfamiliar_Programming_Languages_using_LLM_Chatbots.pdf,6,27669,4315,4611.5,0.9269,0.0,,False,3,introduction,acknowledg,high,19810,3186
S45,Grounded copilot How programmers interact with code-generating models.pdf,27,100630,15490,3727.0,0.9186,0.0,,False,3,introduction,acknowledg,high,81330,12931
S46,Hallucinating AI Hijacking Attackc Large Language Models and Malicious Code Recommenders.pdf,19,35629,4824,1875.2,0.9446,0.0,,False,18,introduction,acknowledg,high,17778,2504
S47,"LLM Hallucinations in Practical Code Generation Phenomena, Mechanism, and Mitigation.pdf",13,81893,11527,6299.5,0.8887,0.0,,False,5,introduction,references,high,56383,7671
S48,LLM-Based Test-Driven Interactive Code Generation User Study and Empirical Evaluation.pdf,15,87069,13592,5804.6,0.905,0.0,,False,1,introduction,references,high,72674,11390
S49,LLMs for science  Usage for code generation and data analysis.pdf,7,33853,5102,4836.1,0.9031,0.00092,,False,2,introduction,acknowledg,high,22515,3513
S50,No_Need_to_Lift_a_Finger_Anymore_Assessing_the_Quality_of_Code_Generation_by_ChatGPT.pdf,37,199284,32014,5386.1,0.8385,0.0,,False,5,introduction,acknowledg,high,164934,26348
S51,On Mitigating Code LLM Hallucinations with API Documentation.pdf,18,61002,9133,3389.0,0.8833,0.0,,False,0,introduction,references,high,35421,5210
