Study_ID,title,DOI,publication_year,publication_venue,pdf_filename,pdf_sha256,primary_secondary_classification,page_count,extraction_status,extracted_characters,extracted_words
S71,Code Generation Using LLMs,10.54660/IJFEI.2025.2.2.16-22,2025,International Journal of Future Engineering Innovations,1- Code Generation Using LLMs.pdf,7e5b60132cd70838452efee5277c5a1973a2df90c59d0ca33f36699e965ae366,Primary,7,ok,20290,2900
S66,Importing Phantoms: Measuring LLM Package Hallucination Vulnerabilities,10.48550/arXiv.2501.19012,2025,arXiv,3- Importing Phantoms.pdf,553a17a6c612106566fdf1dd8db3360434b22b43b6d1af4d1f1318863f456494,Primary,23,ok,44705,6621
S70,Towards Mitigating API Hallucination in Code Generated by LLMs with Hierarchical Dependency Aware,10.48550/arXiv.2505.05057,2025,FSE 2025 (Proceedings of the 2025 ACM SIGSOFT International Conference on the Foundations of Software Engineering),6- Towards Mitigating API Hallucination in Code Generated.pdf,6d553ef1886ad3d2d571da37d1fad3525ab687cf835f414a8f5eb5b56de0a8c5,Primary,12,ok,70961,10432
S65,HAVEN: Hallucination-Mitigated LLM for Verilog Code Generation Aligned with HDL Engineers,10.48550/arXiv.2501.04908,2025,"Design, Automation & Test in Europe Conference (DATE 2025",7- HAVEN.pdf,6851b296d0491cb058c6ec79a7ceee01826c254cf47c70d10537a8328a04824c,Primary,7,ok,38217,5538
S01,A Pilot Study on Secure Code Generation with ChatGPT for Web Applications,10.1145/3603287.3651194,2024,ACMSE 2024 (Proceedings of the 2024 ACM Southeast Conference),A Pilot Study on Secure Code Generation with ChatGPT for Web Applications.pdf,6c6716b97062b8c3fbf097e3ea53b08f2006103c214fe993532bdce8d53fbca9,Primary,6,ok,33589,4704
S02,A Two-Stage Code Generation Method using Large Language Models,10.23940/ijpe.24.07.p6.460467,2024,International Journal of Performability Engineering (IJPE),A Two-Stage Code Generation Method using Large Language Models.pdf,bb3f27f86f5f6d11de6dbd0fc3aecc723a2f178b907a914a07d85857196bdc5a,Primary,9,ok,35002,4836
S03,A Closer Look at Different Difficulty Levels Code Generation Abilities of ChatGPT,10.1109/ASE56229.2023.00096,2023,ASE 2023 (Proceedings of the 2023 38th IEEE/ACM International Conference on Automated Software Engineering),A_Closer_Look_at_Different_Difficulty_Levels_Code_Generation_Abilities_of_ChatGPT.pdf,42297743af604d455cddfbab5889b0199385200e2c3fde892df4b21b43c2d886,Primary,12,ok,67775,10108
S05,A Self-Iteration Code Generation Method Based on Large Language Models,10.1109/ICPADS60453.2023.00049,2023,ICPADS 2023 (IEEE International Conference on Parallel and Distributed Systems),A_Self-Iteration_Code_Generation_Method_Based_on_Large_Language_Models.pdf,06b1fb02d1436bbb69c0aeaa068de33d8452110ea44a5506bc74c2417370a253,Primary,7,ok,38021,5675
S06,AI chatbots in programming education: guiding success or encouraging plagiarism,10.1007/s44163-024-00203-7,2024,Discover Artificial Intelligence (published by Springer),AI chatbots in programming education guiding success or encouraging plagiarism.pdf,2ab0127660d18d798e6525a448b8ef57a743e519c64fea725d5c8deeb108ddbc,Primary,10,ok,42645,6278
S07,AI-assisted coding: Experiments with GPT-4,10.48550/arXiv.2304.13187,2023,arXiv,AI-assisted coding Experiments with GPT-4.pdf,346442109a3dcbf96dcbcec64058af8e2a59814270d97cec79f0537b62f7f52e,Primary,10,ok,28789,4538
