Study_ID,title,abstract_available,keywords_available
S71,Code Generation Using LLMs,True,False
S66,Importing Phantoms: Measuring LLM Package Hallucination Vulnerabilities,True,False
S70,Towards Mitigating API Hallucination in Code Generated by LLMs with Hierarchical Dependency Aware,True,True
S65,HAVEN: Hallucination-Mitigated LLM for Verilog Code Generation Aligned with HDL Engineers,True,True
S01,A Pilot Study on Secure Code Generation with ChatGPT for Web Applications,True,True
S02,A Two-Stage Code Generation Method using Large Language Models,True,True
S03,A Closer Look at Different Difficulty Levels Code Generation Abilities of ChatGPT,True,True
S05,A Self-Iteration Code Generation Method Based on Large Language Models,True,True
S06,AI chatbots in programming education: guiding success or encouraging plagiarism,True,True
S07,AI-assisted coding: Experiments with GPT-4,True,True
S08,An Empirical Study of the Code Generation of Safety-Critical Software Using LLMs,True,True
S09,An Empirical Study of the Non-determinism of ChatGPT in Code Generation,True,False
S10,Applying Large Language Models to Enhance the Assessment of Parallel Functional Programming Assignments,True,True
S11,Applying RLAIF for Code Generation with API-usage in Lightweight LLMs,True,False
S12,Automated Programming Exercise Generation in the Era of Large Language Models,True,True
S13,Automating Human Tutor-Style Programming Feedback: Leveraging GPT-4 Tutor Model for Hint Generation and GPT-3.5 Student Model for Hint Validation,True,True
S14,Beyond Code Generation: An Observational Study of ChatGPT Usage in Software Engineering Practice,True,False
S15,Beyond Functional Correctness: An Exploratory Study on the Time Efficiency of Programming Assignments,True,True
S16,Bridging the Theory-Practice Gap in a Maintenance Programming Course: An Experience Report,True,True
S17,Bugs in Large Language Models Generated Code: An Empirical Study,True,True
S18,Can ChatGPT Support Developers? An Empirical Evaluation of Large Language Models for Code Generation,True,False
S19,Case study: using AI-assisted code generation in mobile teams,True,True
S20,Chain-of-Programming (CoP): Empowering Large Language Models for Geospatial Code Generation,True,True
S21,Code Generation with AlphaCodium: From Prompt Engineering to Flow,True,False
S22,Code Hallucination,True,False
S23,CodeHalu: Investigating Code Hallucinations in LLMs via Execution-based Verification,True,False
S24,CodeMirage: Hallucinations in Code Generated by Large Language Models,True,False
S25,COLLU-BENCH: A BENCHMARK FOR PREDICTING LANGUAGE MODEL HALLUCINATIONS IN CODE,True,True
S61,Cracking the Code: Co-coding with AI in Creative Programming Education,True,True
S26,De-Hallucinator: Iterative Grounding for LLM-Based Code Completion,True,False
S27,"Developer Experiences with a Contextualized AI Coding Assistant: Usability, Expectations, and Outcomes",True,True
S28,Digital Rubber Duck: Leveraging Large Language Models for Extreme Programming,True,True
S29,Does ChatGPT Help With Introductory Programming? An Experiment of Students Using ChatGPT in CS1,True,True
S30,Enhancing Computer Programming Education with LLMs: A Study on Effective Prompt Engineering for Python Code Generation,True,True
S31,Enhancing Large Language Models in Coding Through Multi-Perspective Self-Consistency,True,False
S32,Evaluating Large Language Models in Class-Level Code Generation,True,True
S33,Expectation vs. Experience: Evaluating the Usability of Code Generation Tools Powered by Large Language Models,True,True
S34,Experiences and Challenges in AI-Driven Modular Software Development Using Large Language Models for Code Generation,True,True
S35,Explaining Code Examples in Introductory Programming Courses: LLM vs Humans,True,False
S36,Beyond Functional Correctness: Exploring Hallucinations in LLM-Generated Code,True,True
S38,Exploring the Verifiability of Code Generated by GitHub Copilot,True,False
S39,Exploring Early Adopters’ Perceptions of ChatGPT as a Code Generation Tool,True,True
S40,Exploring the Potential of Large Language Models to Generate Formative Programming Feedback,True,True
S41,Extending the Frontier of ChatGPT: Code Generation and Debugging,True,False
S43,Fight Fire with Fire: How Much Can We Trust ChatGPT on Source Code-Related Tasks?,True,True
S42,From Ban It Till We Understand It to Resistance is Futile: How University Programming Instructors Plan to Adapt as More Students Use AI Code Generation and Explanation Tools such as ChatGPT and GitHub Copilot,True,True
S44,Gauging Tech Community Acceptance of Rapid Prototyping in Unfamiliar Programming Languages using LLM Chatbots,True,True
S45,Grounded Copilot: How Programmers Interact with Code-Generating Models,True,False
S46,Hallucinating AI Hijacking Attack: Large Language Models and Malicious Code Recommenders,True,True
S62,“It would work for me too”: How Online Communities Shape Software Developers’ Trust in AI-Powered Code Generation Tools,True,False
S63,Java Web Programming with ChatGPT,True,True
S47,"LLM Hallucinations in Practical Code Generation: Phenomena, Mechanism, and Mitigation",True,False
S48,LLM-Based Test-Driven Interactive Code Generation User Study and Empirical Evaluation,True,False
S49,LLMs for Science: Usage for Code Generation and Data Analysis,True,True
S50,No Need to Lift a Finger Anymore? Assessing the Quality of Code Generation by ChatGPT,True,False
S51,On Mitigating Code LLM Hallucinations with API Documentation,True,False
S64,Pair programming with ChatGPT for sampling and estimation of copulas,True,True
S52,Poisoned ChatGPT Finds Work for Idle Hands: Exploring Developers’ Coding Practices with Insecure Suggestions from Poisoned AI Models,True,False
S53,Test-Driven Development and LLM-based Code Generation,True,True
S54,The Future of Grading Programming Assignments in Education: The Role of ChatGPT in Automating the Assessment and Feedback Process,True,True
S55,Toward a New Era of Rapid Development: Assessing GPT-4-Vision’s Capabilities in UML-Based Code Generation,True,True
S56,Unmasking the giant: A comprehensive evaluation of ChatGPT's proficiency in coding algorithms and data structures,True,False
S57,User Centric Evaluation of Code Generation Tools,True,True
S58,We Have a Package for You! A Comprehensive Analysis of Package Hallucinations by Code Generating LLMs,True,False
S59,Why Do Developers Engage with ChatGPT in Issue-Tracker? Investigating Usage and Reliance on ChatGPT-Generated Code,True,True
S60,"Would ChatGPT-facilitated programming mode impact college students’ programming behaviors, performances, and perceptions? An empirical study",True,True
