Result_ID,Result description,Value,Source file,Source column/key,Figure using result,Manuscript use
N,Number of primary studies in the LDA corpus,66.0,corpus/primary_studies_manifest.csv,row count,-,Corpus / Methods
META_K,"Selected k, metadata representation",4.0,results/metadata/k_selection_decision.json,selected_k,figures/metadata/M8_candidate_comparison_dominant_counts.png,RQ5 / Methods
FULL_K,"Selected k, full-text representation",8.0,results/fulltext/k_selection_decision.json,selected_k,figures/fulltext/F16_cross_k_persistence_heatmap.png,RQ5 / Methods
META_VOCAB,Metadata vocabulary size,397.0,results/metadata/stage1_selected_config.json,selected_vocab_size,-,Methods
FULL_VOCAB,Full-text vocabulary size,2626.0,results/fulltext/stage1_selected_config.json,selected_vocab_size,-,Methods
META_SEED,Metadata structural-medoid seed,14.0,results/metadata/representative_seed_k04.json,medoid_seed,-,Methods
FULL_SEED,Full-text structural-medoid seed,2.0,results/fulltext/representative_seed_k08.json,medoid_seed,-,Methods
META_CV,Metadata mean C_v at final k,0.4035,results/metadata/definitive_ksweep_runs.csv,"c_v (mean, k=4)",figures/metadata/M1_cv_vs_k.png,RQ5
FULL_CV,Full-text mean C_v at final k,0.3958,results/fulltext/definitive_ksweep_runs.csv,"c_v (mean, k=8)",figures/fulltext/F1_cv_vs_k.png,RQ5
META_STAB,Metadata mean cross-seed JS stability,0.661,results/metadata/seed_stability_by_k.csv,js_similarity_mean (k=4),figures/metadata/M3_stability_vs_k.png,RQ5
FULL_STAB,Full-text mean cross-seed JS stability,0.5432,results/fulltext/seed_stability_by_k.csv,js_similarity_mean (k=8),figures/fulltext/F3_stability_vs_k.png,RQ5
META_SUBS_JS,Metadata 80% subsampling topic similarity,0.5858,results/metadata/subsampling_80pct_100reps.csv,topic_similarity_js (mean),figures/robustness/R1_subsampling_topic_similarity_js.png,Robustness
FULL_SUBS_JS,Full-text 80% subsampling topic similarity,0.5151,results/fulltext/subsampling_80pct_100reps.csv,topic_similarity_js (mean),figures/robustness/R1_subsampling_topic_similarity_js.png,Robustness
META_SUBS_ARI,Metadata 80% subsampling ARI,0.1287,results/metadata/subsampling_80pct_100reps.csv,ari (mean),figures/robustness/R2_subsampling_ari.png,Robustness
FULL_SUBS_ARI,Full-text 80% subsampling ARI,0.2192,results/fulltext/subsampling_80pct_100reps.csv,ari (mean),figures/robustness/R2_subsampling_ari.png,Robustness
META_TE_JS,Metadata training-effort JS similarity,0.9573,results/metadata/training_effort_sensitivity.json,mean_js_similarity,figures/robustness/R4_training_effort_sensitivity.png,Robustness
FULL_TE_JS,Full-text training-effort JS similarity,0.9023,results/fulltext/training_effort_sensitivity.json,mean_js_similarity,figures/robustness/R4_training_effort_sensitivity.png,Robustness
FULL_LEN_R,Full-text length vs. confidence Pearson r,0.2494,results/fulltext/length_diagnostics.json,length_vs_confidence_pearson_r,figures/fulltext/F20_length_vs_confidence.png,Robustness / Limitations
FULL_LEN_P,Full-text length vs. confidence p-value,0.0434,results/fulltext/length_diagnostics.json,length_vs_confidence_pearson_p,figures/fulltext/F20_length_vs_confidence.png,Robustness / Limitations
FULL_LEN_JS,Full-text length-balanced sensitivity JS similarity,0.4455,results/fulltext/length_balanced_sensitivity.json,mean_js_similarity_to_full,figures/fulltext/F21_length_balanced_similarity.png,Robustness / Limitations
CROSS_ARI,Cross-representation dominant-topic ARI,0.191,results/cross_representation/topic_alignment.json,document_assignment_ari,figures/comparison/C2_dominant_topic_contingency.png,RQ5 / Cross-representation
CROSS_NMI,Cross-representation dominant-topic NMI,0.298,results/cross_representation/topic_alignment.json,document_assignment_nmi,figures/comparison/C2_dominant_topic_contingency.png,RQ5 / Cross-representation
HUMAN_META_R1,Metadata Rater 1 preferred k,5.0,human_validation/metadata_human_overall_preferences.csv,preferred_k (Rater1),figures/human_validation/HM3_preferred_topic_count.png,RQ5 / Human validation
HUMAN_META_R2,Metadata Rater 2 preferred k,3.0,human_validation/metadata_human_overall_preferences.csv,preferred_k (Rater2),figures/human_validation/HM3_preferred_topic_count.png,RQ5 / Human validation
HUMAN_FULL_COH,"Full-text combined mean coherence (8 topics, 2 raters)",4.0625,human_validation/fulltext_human_validation_summary.json,combined_mean_coherence,figures/human_validation/HF1_3_ratings_by_topic.png,RQ5 / Human validation
HUMAN_FULL_INT,Full-text combined mean interpretability,4.0,human_validation/fulltext_human_validation_summary.json,combined_mean_interpretability,figures/human_validation/HF1_3_ratings_by_topic.png,RQ5 / Human validation
HUMAN_FULL_DIST,Full-text combined mean distinctiveness,3.875,human_validation/fulltext_human_validation_summary.json,combined_mean_distinctiveness,figures/human_validation/HF1_3_ratings_by_topic.png,RQ5 / Human validation
