Study_ID,title,abstract,author_keywords,combined_text
S71,Code Generation Using LLMs,"Code generation using Large Language Models has brought a significant change in the software industry helping people in various things like understanding the code, writing a code, completion of the code. The main challenge that the Code Generation Models are facing is Hallucinations wherein the given code may not satisfy the users requirements completely or might deviate from the user’s requirements. There are many kinds of hallucinations and are divided into different types like the intent conflicting which consists of semantic conflicts, context deviation which includes inconsistency, repetition, dead code. So, to help with the problem of code repetition type of hallucination we proposed a solution that is fine-tuning a pre-trained model on a specific dataset to help in code generation and to reduce the repetition type hallucination. Repetitive code hallucinations occur when the model generates redundant lines increasing complexity and confusing developers. Repetitive code hallucinations remain a key challenge for LLMs. To address this, we curated a dataset of Python code snippets extracted from GitHub repositories. We have also created a User Interface for efficient usability. We made a comparative study with different models and their results. This can further be improvised using prompt engineering, using more vast datasets for finetuning the model for different languages and can be trained to give more accurate and efficient results. DOI: https://doi.org/10.54660/IJFEI.2025.2.2.16-22",,"Code Generation Using LLMs. Code generation using Large Language Models has brought a significant change in the software industry helping people in various things like understanding the code, writing a code, completion of the code. The main challenge that the Code Generation Models are facing is Hallucinations wherein the given code may not satisfy the users requirements completely or might deviate from the user’s requirements. There are many kinds of hallucinations and are divided into different types like the intent conflicting which consists of semantic conflicts, context deviation which includes inconsistency, repetition, dead code. So, to help with the problem of code repetition type of hallucination we proposed a solution that is fine-tuning a pre-trained model on a specific dataset to help in code generation and to reduce the repetition type hallucination. Repetitive code hallucinations occur when the model generates redundant lines increasing complexity and confusing developers. Repetitive code hallucinations remain a key challenge for LLMs. To address this, we curated a dataset of Python code snippets extracted from GitHub repositories. We have also created a User Interface for efficient usability. We made a comparative study with different models and their results. This can further be improvised using prompt engineering, using more vast datasets for finetuning the model for different languages and can be trained to give more accurate and efficient results. DOI: https://doi.org/10.54660/IJFEI.2025.2.2.16-22"
S66,Importing Phantoms: Measuring LLM Package Hallucination Vulnerabilities,"Large Language Models (LLMs) have become an essential tool in the programmer’s toolkit, but their tendency to hallucinate code can be used by malicious actors to introduce vulnerabilities to broad swathes of the software supply chain. In this work, we analyze package hallucination behaviour in LLMs across popular programming languages examining both existing package references and fictional dependencies. By analyzing this package hallucination behaviour we find potential attacks and suggest defensive strategies to defend against these attacks. We discover that package hallucination rate is predicated not only on model choice, but also programming language, model size, and specificity of the coding task request. The Pareto optimality boundary between code generation performance and package hallucination is sparsely populated, suggesting that coding models are not being optimized for secure code. Additionally, we find an inverse correlation between package hallucination rate and the HumanEval coding benchmark, offering a heuristic for evaluating the propensity of a model to hallucinate packages. Our metrics, findings and analyses provide a base for future models, securing AI-assisted software development workflows against package supply chain attacks. 1. Introduction As Large Language Models (LLMs) become widely adopted by programmers for code generation, their ability to suggest code libraries introduces new security vulnerabilities into large sections of the software supply chain. LLMs are powerful tools, but can produce unpredictable and sometimes incorrect outputs, often referred to as “hallucinations” or “confabulations”. This unpredictability may 1University of Waterloo 2NVIDIA Corporation. Correspondence to: Arjun Krishna, Erick Galinkin <a68krishna@uwaterloo.ca, egalinkin@nvidia.com>. Proceedings of the 41 st International Conference on Machine Learning, Vienna, Austria. PMLR 235, 2024. Copyright 2024 by the author(s). result in LLMs producing code containing software packages that do not exist. These so-called hallucinations can subsequently be exploited by malicious actors to compromise software written with the LLMs (Lanyado, 2023). Google has reported that “the same amount of characters in the code are now completed with AI-based assistance as are manually typed by developers” (Chandra, 2024). Although this may increase developer velocity, it makes securing these LLM systems more critical than ever.",,"Importing Phantoms: Measuring LLM Package Hallucination Vulnerabilities. Large Language Models (LLMs) have become an essential tool in the programmer’s toolkit, but their tendency to hallucinate code can be used by malicious actors to introduce vulnerabilities to broad swathes of the software supply chain. In this work, we analyze package hallucination behaviour in LLMs across popular programming languages examining both existing package references and fictional dependencies. By analyzing this package hallucination behaviour we find potential attacks and suggest defensive strategies to defend against these attacks. We discover that package hallucination rate is predicated not only on model choice, but also programming language, model size, and specificity of the coding task request. The Pareto optimality boundary between code generation performance and package hallucination is sparsely populated, suggesting that coding models are not being optimized for secure code. Additionally, we find an inverse correlation between package hallucination rate and the HumanEval coding benchmark, offering a heuristic for evaluating the propensity of a model to hallucinate packages. Our metrics, findings and analyses provide a base for future models, securing AI-assisted software development workflows against package supply chain attacks. 1. Introduction As Large Language Models (LLMs) become widely adopted by programmers for code generation, their ability to suggest code libraries introduces new security vulnerabilities into large sections of the software supply chain. LLMs are powerful tools, but can produce unpredictable and sometimes incorrect outputs, often referred to as “hallucinations” or “confabulations”. This unpredictability may 1University of Waterloo 2NVIDIA Corporation. Correspondence to: Arjun Krishna, Erick Galinkin <a68krishna@uwaterloo.ca, egalinkin@nvidia.com>. Proceedings of the 41 st International Conference on Machine Learning, Vienna, Austria. PMLR 235, 2024. Copyright 2024 by the author(s). result in LLMs producing code containing software packages that do not exist. These so-called hallucinations can subsequently be exploited by malicious actors to compromise software written with the LLMs (Lanyado, 2023). Google has reported that “the same amount of characters in the code are now completed with AI-based assistance as are manually typed by developers” (Chandra, 2024). Although this may increase developer velocity, it makes securing these LLM systems more critical than ever."
S70,Towards Mitigating API Hallucination in Code Generated by LLMs with Hierarchical Dependency Aware,"Application Programming Interfaces (APIs) are crucial in modern software development. Large Language Models (LLMs) assist in automated code generation but often struggle with API hallucination, including invoking non-existent APIs and misusing existing ones in practical development scenarios. Existing studies resort to Retrieval-Augmented Generation (RAG) methods for mitigating the hallucination issue, but tend to fail since they generally ignore the structural dependencies in practical projects and do not indeed validate whether the generated APIs are available or not. To address these limitations, we propose MARIN, a framework for mitigating API hallucination in code generated by LLMs with hierarchical dependency aware. MARIN consists of two phases: Hierarchical Dependency Mining, which analyzes local and global dependencies of the current function, aiming to supplement comprehensive project context in LLMs’ input, and Dependency Constrained Decoding, which utilizes mined dependencies to adaptively constrain the generation process, aiming to ensure the generated APIs align with the project’s specifications. To facilitate the evaluation of the degree of API hallucination, we introduce a new benchmark APIHulBench and two new metrics including Micro Hallucination Number (MiHN) and Macro Hallucination Rate (MaHR). Experiments on six state-of-the-art LLMs demonstrate that MARIN effectively reduces API hallucinations, achieving an average decrease of 67.52% in MiHN and 73.56% in MaHR compared to the RAG approach. Applied to Huawei’s internal projects and two proprietary LLMs, MARIN achieves average decreases of 57.33% in MiHN and 59.41% in MaHR. * Corresponding author. Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page. Copyrights for components of this work owned by others than the author(s) must be honored. Abstracting with credit is permitted. To copy otherwise, or republish, to post on servers or to redistribute to lists, requires prior specific permission and/or a fee. Request permissions from permissions@acm.org. FSE Companion ’25, June 23–28, 2025, Trondheim, Norway © 2025 Copyright held by the owner/author(s). Publication rights licensed to ACM.","Large language model, code generation, LLM hallucination","Towards Mitigating API Hallucination in Code Generated by LLMs with Hierarchical Dependency Aware. Application Programming Interfaces (APIs) are crucial in modern software development. Large Language Models (LLMs) assist in automated code generation but often struggle with API hallucination, including invoking non-existent APIs and misusing existing ones in practical development scenarios. Existing studies resort to Retrieval-Augmented Generation (RAG) methods for mitigating the hallucination issue, but tend to fail since they generally ignore the structural dependencies in practical projects and do not indeed validate whether the generated APIs are available or not. To address these limitations, we propose MARIN, a framework for mitigating API hallucination in code generated by LLMs with hierarchical dependency aware. MARIN consists of two phases: Hierarchical Dependency Mining, which analyzes local and global dependencies of the current function, aiming to supplement comprehensive project context in LLMs’ input, and Dependency Constrained Decoding, which utilizes mined dependencies to adaptively constrain the generation process, aiming to ensure the generated APIs align with the project’s specifications. To facilitate the evaluation of the degree of API hallucination, we introduce a new benchmark APIHulBench and two new metrics including Micro Hallucination Number (MiHN) and Macro Hallucination Rate (MaHR). Experiments on six state-of-the-art LLMs demonstrate that MARIN effectively reduces API hallucinations, achieving an average decrease of 67.52% in MiHN and 73.56% in MaHR compared to the RAG approach. Applied to Huawei’s internal projects and two proprietary LLMs, MARIN achieves average decreases of 57.33% in MiHN and 59.41% in MaHR. * Corresponding author. Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page. Copyrights for components of this work owned by others than the author(s) must be honored. Abstracting with credit is permitted. To copy otherwise, or republish, to post on servers or to redistribute to lists, requires prior specific permission and/or a fee. Request permissions from permissions@acm.org. FSE Companion ’25, June 23–28, 2025, Trondheim, Norway © 2025 Copyright held by the owner/author(s). Publication rights licensed to ACM. Large language model, code generation, LLM hallucination"
S65,HAVEN: Hallucination-Mitigated LLM for Verilog Code Generation Aligned with HDL Engineers,"—Recently, the use of large language models (LLMs) for Verilog code generation has attracted great research interest to enable hardware design automation. However, previous works have shown a gap between the ability of LLMs and the practical demands of hardware description language (HDL) engineering. This gap includes differences in how engineers phrase questions and hallucinations in the code generated. To address these challenges, we introduce HAVEN, a novel LLM framework designed to mitigate hallucinations and align Verilog code generation with the practices of HDL engineers. HAVEN tackles hallucination issues by proposing a comprehensive taxonomy and employing a chainof-thought (CoT) mechanism to translate symbolic modalities (e.g. truth tables, state diagrams, etc.) into accurate natural language descriptions. Furthermore, HAVEN bridges this gap by using a data augmentation strategy. It synthesizes high-quality instruction-code pairs that match real HDL engineering practices. Our experiments demonstrate that HAVEN significantly improves the correctness of Verilog code generation, outperforming stateof-the-art LLM-based Verilog generation methods on VerilogEval and RTLLM benchmark. HAVEN is publicly available at https: //github.com/Intelligent-Computing-Research-Group/HaVen.","—Verilog Code Generation, LLM","HAVEN: Hallucination-Mitigated LLM for Verilog Code Generation Aligned with HDL Engineers. —Recently, the use of large language models (LLMs) for Verilog code generation has attracted great research interest to enable hardware design automation. However, previous works have shown a gap between the ability of LLMs and the practical demands of hardware description language (HDL) engineering. This gap includes differences in how engineers phrase questions and hallucinations in the code generated. To address these challenges, we introduce HAVEN, a novel LLM framework designed to mitigate hallucinations and align Verilog code generation with the practices of HDL engineers. HAVEN tackles hallucination issues by proposing a comprehensive taxonomy and employing a chainof-thought (CoT) mechanism to translate symbolic modalities (e.g. truth tables, state diagrams, etc.) into accurate natural language descriptions. Furthermore, HAVEN bridges this gap by using a data augmentation strategy. It synthesizes high-quality instruction-code pairs that match real HDL engineering practices. Our experiments demonstrate that HAVEN significantly improves the correctness of Verilog code generation, outperforming stateof-the-art LLM-based Verilog generation methods on VerilogEval and RTLLM benchmark. HAVEN is publicly available at https: //github.com/Intelligent-Computing-Research-Group/HaVen. —Verilog Code Generation, LLM"
S01,A Pilot Study on Secure Code Generation with ChatGPT for Web Applications,"Conversational Large Language Models (LLMs), such as ChatGPT, have demonstrated their potent capabilities in natural language processing tasks. This paper presents a pilot study that uses ChatGPT for generating web application code with a specific emphasis on mitigating four prevalent web application vulnerability types: SQL Injection, Cross Site Scripting, Carriage Return Line Feed Injection, and Exposure of Sensitive Information. The paper uses a case study to illustrate how the vulnerabilities in the code are mitigated with the prompts and the subsequent refinements. The study’s findings summarize the security concerns in the code generated by ChatGPT, and the paper proposes a prompt pattern designed to help mitigating the potential vulnerabilities.","Secure coding, web application vulnerabilities, generative AI, ChatGPT","A Pilot Study on Secure Code Generation with ChatGPT for Web Applications. Conversational Large Language Models (LLMs), such as ChatGPT, have demonstrated their potent capabilities in natural language processing tasks. This paper presents a pilot study that uses ChatGPT for generating web application code with a specific emphasis on mitigating four prevalent web application vulnerability types: SQL Injection, Cross Site Scripting, Carriage Return Line Feed Injection, and Exposure of Sensitive Information. The paper uses a case study to illustrate how the vulnerabilities in the code are mitigated with the prompts and the subsequent refinements. The study’s findings summarize the security concerns in the code generated by ChatGPT, and the paper proposes a prompt pattern designed to help mitigating the potential vulnerabilities. Secure coding, web application vulnerabilities, generative AI, ChatGPT"
S02,A Two-Stage Code Generation Method using Large Language Models,"Large language models are capable of generating source code in a zero-shot manner to develop programs that meet user functional requirements. However, when faced with scenarios involving complex business requirements, the generated source code may fail to satisfy user needs. Addressing the challenge of understanding software requirements, we propose a two-stage code generation approach. Initially, the large language model generates pseudocode based on the user’s functional requirements, refined through an iterative process with user feedback. Subsequently, the model generates source code based on the finalized pseudocode. We conducted empirical studies on an open code generation dataset, and experimental results with models such as GPT-4, Claude Sonnect 3, and Geminipro 1.5 demonstrate that our method outperforms zero-shot prompt learning in scenarios with complex user requirements, with improvements in PASS@K reaching up to 15%.","large language models; two-stage code generation; zero-shot prompt learning (Submitted on May 12, 2024; Revised on June 5, 2024; Accepted on June 30, 2024) © 2024 Totem Publisher, Inc. All rights reserved. 1. Introduction In recent years, Large Language Models (LLMs) have achieved groundbreaking progress in the field of artificial intelligence, impacting areas such as computer vision tasks [1], audio [2], video [3], and natural language processing [4]. They have also had a profound effect on software engineering. These models have demonstrated significant roles in various key stages of the software development lifecycle. In the requirements analysis phase, LLMs can aid in deciphering and clarifying complex user needs, thus improving the quality and consistency of requirement documents [5,6]. During the system design process, they can generate preliminary architecture diagrams and UML charts, accelerating the design process and providing innovative suggestions [7-10]. In the code implementation phase, LLMs not only generate high-quality source code but also offer realtime programming advice and auto-completion features, significantly boosting development efficiency [11-13]. During code reviews, these models can quickly identify potential bugs, security vulnerabilities, and performance issues, thereby improving code quality [14,15]. In terms of software testing, LLMs can automatically generate comprehensive test cases and test scripts, covering various edge cases and exceptional scenarios. For documentation, they can produce clear, structured technical documents, API descriptions, and user manuals, enhancing the readability and completeness of the documentation. Notably, in the domain of code generation, large language models exhibit remarkable capabilities. The zero-shot learning-based code generation method does not require fine-tuning for specific programming tasks; it can directly convert functional requirements described in natural language into executable source code, purely based on the knowledge acquired during the model’s pretraining phase [12,16]. This breakthrough has revolutionized the software development process, not only significantly improving programmers’ productivity but also accelerating the software development cycle. More importantly, it lowers the barrier for coding, enabling non-professionals to create simple programs using natural language descriptions. As these models continue to advance in the field of code generation, we are witnessing the birth of a new software development paradigm that seamlessly combines human creativity with AI efficiency, propelling the field of software engineering towards more efficient and intelligent development. However, although zero-shot code generation methods perform well in handling simple tasks, their limitations become apparent when dealing with complex business requirement scenarios. The main issue is that when user requirements involve A Two-Stage Code Generation Method using Large Language Models 461 complex business logic, interactions among multiple functional modules, or specific domain knowledge, large language models often struggle to accurately comprehend and grasp the entirety of these requirements. This results in low quality generated source code that cannot fully meet the actual needs of users. Accurately understanding and parsing complex software requirements is becoming a critical bottleneck that limits the further development of large language models in the field of code generation. In response to the above problem, this paper proposes an innovative two-phase code generation method. The core idea of this approach is to decompose the complex task of code generation into two relatively independent but closely related steps. In the first phase, we use a large language model to generate pseudocode based on the user’s functional requirements and refine the pseudocode through iterative interactions with the user. This process is intended to ensure an accurate understanding and expression of complex requirements. In the second phase, upon obtaining the user-approved pseudocode, the large language model is again used to transform the pseudocode into the final source code. We conducted experiments on an open code generation dataset, and the results showed that compared to traditional zero-shot methods, our proposed two-phase method significantly improves code generation quality, particularly in handling complex user requirements, with a 15% increase in the PASS@K metric. The structure of this paper is organized as follows: Section 2 reviews related research, including the application of large language models in the field of code generation and the limitations of existing methods. Section 3 provides a detailed","A Two-Stage Code Generation Method using Large Language Models. Large language models are capable of generating source code in a zero-shot manner to develop programs that meet user functional requirements. However, when faced with scenarios involving complex business requirements, the generated source code may fail to satisfy user needs. Addressing the challenge of understanding software requirements, we propose a two-stage code generation approach. Initially, the large language model generates pseudocode based on the user’s functional requirements, refined through an iterative process with user feedback. Subsequently, the model generates source code based on the finalized pseudocode. We conducted empirical studies on an open code generation dataset, and experimental results with models such as GPT-4, Claude Sonnect 3, and Geminipro 1.5 demonstrate that our method outperforms zero-shot prompt learning in scenarios with complex user requirements, with improvements in PASS@K reaching up to 15%. large language models; two-stage code generation; zero-shot prompt learning (Submitted on May 12, 2024; Revised on June 5, 2024; Accepted on June 30, 2024) © 2024 Totem Publisher, Inc. All rights reserved. 1. Introduction In recent years, Large Language Models (LLMs) have achieved groundbreaking progress in the field of artificial intelligence, impacting areas such as computer vision tasks [1], audio [2], video [3], and natural language processing [4]. They have also had a profound effect on software engineering. These models have demonstrated significant roles in various key stages of the software development lifecycle. In the requirements analysis phase, LLMs can aid in deciphering and clarifying complex user needs, thus improving the quality and consistency of requirement documents [5,6]. During the system design process, they can generate preliminary architecture diagrams and UML charts, accelerating the design process and providing innovative suggestions [7-10]. In the code implementation phase, LLMs not only generate high-quality source code but also offer realtime programming advice and auto-completion features, significantly boosting development efficiency [11-13]. During code reviews, these models can quickly identify potential bugs, security vulnerabilities, and performance issues, thereby improving code quality [14,15]. In terms of software testing, LLMs can automatically generate comprehensive test cases and test scripts, covering various edge cases and exceptional scenarios. For documentation, they can produce clear, structured technical documents, API descriptions, and user manuals, enhancing the readability and completeness of the documentation. Notably, in the domain of code generation, large language models exhibit remarkable capabilities. The zero-shot learning-based code generation method does not require fine-tuning for specific programming tasks; it can directly convert functional requirements described in natural language into executable source code, purely based on the knowledge acquired during the model’s pretraining phase [12,16]. This breakthrough has revolutionized the software development process, not only significantly improving programmers’ productivity but also accelerating the software development cycle. More importantly, it lowers the barrier for coding, enabling non-professionals to create simple programs using natural language descriptions. As these models continue to advance in the field of code generation, we are witnessing the birth of a new software development paradigm that seamlessly combines human creativity with AI efficiency, propelling the field of software engineering towards more efficient and intelligent development. However, although zero-shot code generation methods perform well in handling simple tasks, their limitations become apparent when dealing with complex business requirement scenarios. The main issue is that when user requirements involve A Two-Stage Code Generation Method using Large Language Models 461 complex business logic, interactions among multiple functional modules, or specific domain knowledge, large language models often struggle to accurately comprehend and grasp the entirety of these requirements. This results in low quality generated source code that cannot fully meet the actual needs of users. Accurately understanding and parsing complex software requirements is becoming a critical bottleneck that limits the further development of large language models in the field of code generation. In response to the above problem, this paper proposes an innovative two-phase code generation method. The core idea of this approach is to decompose the complex task of code generation into two relatively independent but closely related steps. In the first phase, we use a large language model to generate pseudocode based on the user’s functional requirements and refine the pseudocode through iterative interactions with the user. This process is intended to ensure an accurate understanding and expression of complex requirements. In the second phase, upon obtaining the user-approved pseudocode, the large language model is again used to transform the pseudocode into the final source code. We conducted experiments on an open code generation dataset, and the results showed that compared to traditional zero-shot methods, our proposed two-phase method significantly improves code generation quality, particularly in handling complex user requirements, with a 15% increase in the PASS@K metric. The structure of this paper is organized as follows: Section 2 reviews related research, including the application of large language models in the field of code generation and the limitations of existing methods. Section 3 provides a detailed"
S03,A Closer Look at Different Difficulty Levels Code Generation Abilities of ChatGPT,"—Code generation aims to generate source code implementing human requirements illustrated with natural language specifications. With the rapid development of intelligent software engineering, automated code generation has become a hot research topic in both artificial intelligence and software engineering, and researchers have made significant achievements on code generation. More recently, large language models (LLMs) have demonstrated outstanding performance on code generation tasks, such as ChatGPT released by OpenAI presents the fantastic potential on automated code generation. However, the existing studies are limited to exploring LLMs’ ability for generating code snippets to solve simple programming problems, the task of competition-level code generation has never been investigated. The specifications of the programming competition are always complicated and require the specific input/output format as well as the high-level algorithmic reasoning ability. In this study, we conduct the first large empirical study to investigate the zero-shot learning ability of ChatGPT for solving competition programming problems. Specifically, we warm up the design of prompts by using the Human-Eval dataset. Then, we apply the well-designed prompt to the competition-level code generation dataset, namely APPS, to further explore the effectiveness of using ChatGPT for solving competition problems. We collect ChatGPT’s outputs on 5,000 code competition problems, the evaluation results show that it can successfully pass 25.4% test cases. By further feeding extra information (e.g, test failed information) to ChatGPT, we observe that ChatGPT has the potential to fix partial pass into a fully pass program. Moreover, we investigate the solutions generated by LLMs and the existing solutions, we find that it prefers to directly copy the code instead of re-write when facing more difficult problems. Finally, we evaluate the code quality generated by ChatGPT in terms of “code cleanness”, we observe that the generated codes are with small functions and file sizes, which are in line with the standard of clean code.","—code generation, program competition, ChatGPT, large language model, clean code","A Closer Look at Different Difficulty Levels Code Generation Abilities of ChatGPT. —Code generation aims to generate source code implementing human requirements illustrated with natural language specifications. With the rapid development of intelligent software engineering, automated code generation has become a hot research topic in both artificial intelligence and software engineering, and researchers have made significant achievements on code generation. More recently, large language models (LLMs) have demonstrated outstanding performance on code generation tasks, such as ChatGPT released by OpenAI presents the fantastic potential on automated code generation. However, the existing studies are limited to exploring LLMs’ ability for generating code snippets to solve simple programming problems, the task of competition-level code generation has never been investigated. The specifications of the programming competition are always complicated and require the specific input/output format as well as the high-level algorithmic reasoning ability. In this study, we conduct the first large empirical study to investigate the zero-shot learning ability of ChatGPT for solving competition programming problems. Specifically, we warm up the design of prompts by using the Human-Eval dataset. Then, we apply the well-designed prompt to the competition-level code generation dataset, namely APPS, to further explore the effectiveness of using ChatGPT for solving competition problems. We collect ChatGPT’s outputs on 5,000 code competition problems, the evaluation results show that it can successfully pass 25.4% test cases. By further feeding extra information (e.g, test failed information) to ChatGPT, we observe that ChatGPT has the potential to fix partial pass into a fully pass program. Moreover, we investigate the solutions generated by LLMs and the existing solutions, we find that it prefers to directly copy the code instead of re-write when facing more difficult problems. Finally, we evaluate the code quality generated by ChatGPT in terms of “code cleanness”, we observe that the generated codes are with small functions and file sizes, which are in line with the standard of clean code. —code generation, program competition, ChatGPT, large language model, clean code"
S05,A Self-Iteration Code Generation Method Based on Large Language Models,"—Although large language models (LLMs) have demonstrated impressive performance in code generation, they still face challenges when dealing with complex code generation tasks. In the software development process, humans often refine complex tasks iteratively and continuously modify and improve them. Inspired by this, we propose a self-iteration code generation framework based on large language models like ChatGPT. To realize this idea, we incorporated software development methodologies into the self-iteration framework. We introduced four roles into each cycle, including analyst, designer, developer, and tester. Each role performs different tasks during the self-iteration cycle, with analyst and designer continuously improving requirements analysis and task design based on the testing feedback provided by tester, while developer are responsible for refactoring or modifying code until it passes testing, concluding the entire self-iteration process. We conducted extensive experiments on multiple benchmarks. The experimental results indicate: (1) The code generated by the self-iteration framework achieves up to a 21.3% relative improvement in Pass@1 compared to direct code generation. (2) The self-iteration framework also exhibits strong generalization performance, enhancing code generation quality for different large language models. “Failure is simply the opportunity to begin again, this time more intelligently.” - Henry Ford","—Iteration, Code generation, Large language models","A Self-Iteration Code Generation Method Based on Large Language Models. —Although large language models (LLMs) have demonstrated impressive performance in code generation, they still face challenges when dealing with complex code generation tasks. In the software development process, humans often refine complex tasks iteratively and continuously modify and improve them. Inspired by this, we propose a self-iteration code generation framework based on large language models like ChatGPT. To realize this idea, we incorporated software development methodologies into the self-iteration framework. We introduced four roles into each cycle, including analyst, designer, developer, and tester. Each role performs different tasks during the self-iteration cycle, with analyst and designer continuously improving requirements analysis and task design based on the testing feedback provided by tester, while developer are responsible for refactoring or modifying code until it passes testing, concluding the entire self-iteration process. We conducted extensive experiments on multiple benchmarks. The experimental results indicate: (1) The code generated by the self-iteration framework achieves up to a 21.3% relative improvement in Pass@1 compared to direct code generation. (2) The self-iteration framework also exhibits strong generalization performance, enhancing code generation quality for different large language models. “Failure is simply the opportunity to begin again, this time more intelligently.” - Henry Ford —Iteration, Code generation, Large language models"
S06,AI chatbots in programming education: guiding success or encouraging plagiarism,"This study examines the impact of an AI programming assistant on students’ exam scores and their tendency to accept incorrect AI-generated information. The customized AI programming assistant was developed by the authors using GPT based Large Language Model (LLM). A one group pretest–posttest quasi-experimental design was utilized to answer research questions. Students were asked to take identical programming exams twice: once without AI assistance and once with the option to use the AI assistant. Results showed that the students’ average exam scores significantly increased from 48.33 to 74.47 with a large effect size (d = 1.56) when they used the AI assistance. On the other hand, when student—AI interaction logs were analyzed for a specific question, it was found that AI generated incorrect answers to 36 students. Thirty-three of these students (92%) answered the question incorrectly. Even more interestingly, despite the AI-generated response containing an obvious error, 22 of them (61%) copied and pasted the AI’s response directly into the answer field. Only 3 students (8%) ignored the incorrect response generated by the AI and answered the question correctly. A significant portion of students accepting incorrect information provided by AI underscores the need for careful integration of AI tools into learning environments. Moreover, our findings emphasize the importance of specially developed AI tools rather than free tools like ChatGPT in exploring the new type of interaction between students and AI.",Large language models · AI in education · GPT · AI programming assistant · Plagiarism · Student-AI interaction,"AI chatbots in programming education: guiding success or encouraging plagiarism. This study examines the impact of an AI programming assistant on students’ exam scores and their tendency to accept incorrect AI-generated information. The customized AI programming assistant was developed by the authors using GPT based Large Language Model (LLM). A one group pretest–posttest quasi-experimental design was utilized to answer research questions. Students were asked to take identical programming exams twice: once without AI assistance and once with the option to use the AI assistant. Results showed that the students’ average exam scores significantly increased from 48.33 to 74.47 with a large effect size (d = 1.56) when they used the AI assistance. On the other hand, when student—AI interaction logs were analyzed for a specific question, it was found that AI generated incorrect answers to 36 students. Thirty-three of these students (92%) answered the question incorrectly. Even more interestingly, despite the AI-generated response containing an obvious error, 22 of them (61%) copied and pasted the AI’s response directly into the answer field. Only 3 students (8%) ignored the incorrect response generated by the AI and answered the question correctly. A significant portion of students accepting incorrect information provided by AI underscores the need for careful integration of AI tools into learning environments. Moreover, our findings emphasize the importance of specially developed AI tools rather than free tools like ChatGPT in exploring the new type of interaction between students and AI. Large language models · AI in education · GPT · AI programming assistant · Plagiarism · Student-AI interaction"
S07,AI-assisted coding: Experiments with GPT-4,"Artificial intelligence (AI) tools based on large language models have acheived human-level performance on some computer programming tasks. We report several experiments using GPT-4 to generate computer code. These experiments demonstrate that AI code generation using the current generation of tools, while powerful, requires substantial human validation to ensure accurate performance. We also demonstrate that GPT-4 refactoring of existing code can significantly improve that code along several established metrics for code quality, and we show that GPT-4 can generate tests with substantial coverage, but that many of the tests fail when applied to the associated code. These findings suggest that while AI coding tools are very powerful, they still require humans in the loop to ensure validity and accuracy of the results.",artificial intelligence • software engineering • reproducibility,"AI-assisted coding: Experiments with GPT-4. Artificial intelligence (AI) tools based on large language models have acheived human-level performance on some computer programming tasks. We report several experiments using GPT-4 to generate computer code. These experiments demonstrate that AI code generation using the current generation of tools, while powerful, requires substantial human validation to ensure accurate performance. We also demonstrate that GPT-4 refactoring of existing code can significantly improve that code along several established metrics for code quality, and we show that GPT-4 can generate tests with substantial coverage, but that many of the tests fail when applied to the associated code. These findings suggest that while AI coding tools are very powerful, they still require humans in the loop to ensure validity and accuracy of the results. artificial intelligence • software engineering • reproducibility"
