study_id,study_category,title,year,doi,included_in_lda
S01,Primary,A Pilot Study on Secure Code Generation with ChatGPT for Web Applications,2024,10.1145/3603287.3651194,Yes
S02,Primary,A Two-Stage Code Generation Method using Large Language Models,2024,10.23940/ijpe.24.07.p6.460467,Yes
S03,Primary,A Closer Look at Different Difficulty Levels Code Generation Abilities of ChatGPT,2023,10.1109/ASE56229.2023.00096,Yes
S04,Secondary,A Review on Code Generation with LLMs: Application and Evaluation,2023,10.1109/MedAI59581.2023.00044,No
S05,Primary,A Self-Iteration Code Generation Method Based on Large Language Models,2023,10.1109/ICPADS60453.2023.00049,Yes
S06,Primary,AI chatbots in programming education: guiding success or encouraging plagiarism,2024,10.1007/s44163-024-00203-7,Yes
S07,Primary,AI-assisted coding: Experiments with GPT-4,2023,10.48550/arXiv.2304.13187,Yes
S08,Primary,An Empirical Study of the Code Generation of Safety-Critical Software Using LLMs,2024,10.3390/app14031046,Yes
S09,Primary,An Empirical Study of the Non-determinism of ChatGPT in Code Generation,2024,10.1145/3697010,Yes
S10,Primary,Applying Large Language Models to Enhance the Assessment of Parallel Functional Programming Assignments,2024,10.1145/3643795.3648375,Yes
S11,Primary,Applying RLAIF for Code Generation with API-usage in Lightweight LLMs,2024,10.48550/arXiv.2406.20060,Yes
S12,Primary,Automated Programming Exercise Generation in the Era of Large Language Models,2024,10.1109/CSEET62301.2024.10662984,Yes
S13,Primary,Automating Human Tutor-Style Programming Feedback: Leveraging GPT-4 Tutor Model for Hint Generation and GPT-3.5 Student Model for Hint Validation,2024,10.1145/3636555.3636846,Yes
S14,Primary,Beyond Code Generation: An Observational Study of ChatGPT Usage in Software Engineering Practice,2024,10.1145/3660788,Yes
S15,Primary,Beyond Functional Correctness: An Exploratory Study on the Time Efficiency of Programming Assignments,2024,10.1145/3639474.3640065,Yes
S16,Primary,Bridging the Theory-Practice Gap in a Maintenance Programming Course: An Experience Report,2024,10.1145/3639474.3640062,Yes
S17,Primary,Bugs in Large Language Models Generated Code: An Empirical Study,2024,10.1007/s10664-025-10614-4,Yes
S18,Primary,Can ChatGPT Support Developers? An Empirical Evaluation of Large Language Models for Code Generation,2024,10.1145/3643991.3645074,Yes
S19,Primary,Case study: using AI-assisted code generation in mobile teams,2023,10.1109/ICCP60212.2023.10398656,Yes
S20,Primary,Chain-of-Programming (CoP): Empowering Large Language Models for Geospatial Code Generation,2025,10.1080/17538947.2025.2509812,Yes
S21,Primary,Code Generation with AlphaCodium: From Prompt Engineering to Flow,2024,10.48550/arXiv.2401.08500,Yes
S22,Primary,Code Hallucination,2024,10.48550/arXiv.2407.04831,Yes
S23,Primary,CodeHalu: Investigating Code Hallucinations in LLMs via Execution-based Verification,2025,,Yes
S24,Primary,CodeMirage: Hallucinations in Code Generated by Large Language Models,2024,10.48550/arXiv.2408.08333,Yes
S25,Primary,COLLU-BENCH: A BENCHMARK FOR PREDICTING LANGUAGE MODEL HALLUCINATIONS IN CODE,2024,10.48550/arXiv.2410.09997,Yes
S26,Primary,De-Hallucinator: Iterative Grounding for LLM-Based Code Completion,2024,,Yes
S27,Primary,"Developer Experiences with a Contextualized AI Coding Assistant: Usability, Expectations, and Outcomes",2024,10.1145/3644815.3644949,Yes
S28,Primary,Digital Rubber Duck: Leveraging Large Language Models for Extreme Programming,2023,10.1109/CSCE60160.2023.00051,Yes
S29,Primary,Does ChatGPT Help With Introductory Programming? An Experiment of Students Using ChatGPT in CS1,2024,10.1145/3639474.3640076,Yes
S30,Primary,Enhancing Computer Programming Education with LLMs: A Study on Effective Prompt Engineering for Python Code Generation,2024,10.48550/arXiv.2407.05437,Yes
S31,Primary,Enhancing Large Language Models in Coding Through Multi-Perspective Self-Consistency,2024,10.48550/arXiv.2309.17272,Yes
S32,Primary,Evaluating Large Language Models in Class-Level Code Generation,2024,10.1145/3597503.3639219,Yes
S33,Primary,Expectation vs. Experience: Evaluating the Usability of Code Generation Tools Powered by Large Language Models,2022,10.1145/3491101.3519665,Yes
S34,Primary,Experiences and Challenges in AI-Driven Modular Software Development Using Large Language Models for Code Generation,2024,10.22541/au.172871465.54826063/v1,Yes
S35,Primary,Explaining Code Examples in Introductory Programming Courses: LLM vs Humans,2024,,Yes
S36,Primary,Beyond Functional Correctness: Exploring Hallucinations in LLM-Generated Code,2024,10.48550/arXiv.2404.00971,Yes
S37,Secondary,Exploring Human-Centered Approaches in Generative AI and Introductory Programming Research: A Scoping Review,2024,10.1145/3689535.3689553,No
S38,Primary,Exploring the Verifiability of Code Generated by GitHub Copilot,2022,10.48550/arXiv.2209.01766,Yes
S39,Primary,Exploring Early Adopters’ Perceptions of ChatGPT as a Code Generation Tool,2023,10.1109/ASEW60602.2023.00016,Yes
S40,Primary,Exploring the Potential of Large Language Models to Generate Formative Programming Feedback,2023,10.1109/FIE58773.2023.10343457,Yes
S41,Primary,Extending the Frontier of ChatGPT: Code Generation and Debugging,2024,10.1109/ICECET61485.2024.10698405,Yes
S42,Primary,From Ban It Till We Understand It to Resistance is Futile: How University Programming Instructors Plan to Adapt as More Students Use AI Code Generation and Explanation Tools such as ChatGPT and GitHub Copilot,2023,10.1145/3568813.3600138,Yes
S43,Primary,Fight Fire with Fire: How Much Can We Trust ChatGPT on Source Code-Related Tasks?,2024,10.48550/arXiv.2405.12641,Yes
S44,Primary,Gauging Tech Community Acceptance of Rapid Prototyping in Unfamiliar Programming Languages using LLM Chatbots,2024,10.1145/3643795.3648393,Yes
S45,Primary,Grounded Copilot: How Programmers Interact with Code-Generating Models,2023,10.1145/3586030,Yes
S46,Primary,Hallucinating AI Hijacking Attack: Large Language Models and Malicious Code Recommenders,2024,,Yes
S47,Primary,"LLM Hallucinations in Practical Code Generation: Phenomena, Mechanism, and Mitigation",2024,10.48550/arXiv.2409.20550,Yes
S48,Primary,LLM-Based Test-Driven Interactive Code Generation User Study and Empirical Evaluation,2024,10.1109/TSE.2024.3428972,Yes
S49,Primary,LLMs for Science: Usage for Code Generation and Data Analysis,2024,10.1002/smr.2723,Yes
S50,Primary,No Need to Lift a Finger Anymore? Assessing the Quality of Code Generation by ChatGPT,2024,10.1109/TSE.2024.3392499,Yes
S51,Primary,On Mitigating Code LLM Hallucinations with API Documentation,2024,10.48550/arXiv.2407.09726,Yes
S52,Primary,Poisoned ChatGPT Finds Work for Idle Hands: Exploring Developers’ Coding Practices with Insecure Suggestions from Poisoned AI Models,2024,10.1109/SP54263.2024.00046,Yes
S53,Primary,Test-Driven Development and LLM-based Code Generation,2024,10.1145/3691620.3695527,Yes
S54,Primary,The Future of Grading Programming Assignments in Education: The Role of ChatGPT in Automating the Assessment and Feedback Process,2024,10.1016/j.tsc.2024.101522,Yes
S55,Primary,Toward a New Era of Rapid Development: Assessing GPT-4-Vision’s Capabilities in UML-Based Code Generation,2024,10.1145/3643795.3648391,Yes
S56,Primary,Unmasking the giant: A comprehensive evaluation of ChatGPT's proficiency in coding algorithms and data structures,2024,10.5220/0012467100003636,Yes
